Estado,lat,lon
RJ,-22.9068,-43.1729
SP,-23.5558,-46.6396
DF,-15.7975,-47.8919
MG,-17.9302,-43.7908
AM,-3.4168,-65.8561
PE,-8.8137,-36.9541
BA,-11.4099,-41.2809
GO,-15.7050,-49.3653
PR,-25.2521,-52.0215
RS,-29.3646, -51.6658
CE,-5.4984,-39.3206
RN,-5.4026,-36.9541
AL,-9.5713,-36.7820
SC,-26.9286,-49.3653
PA,-6.2071,-52.7028
MA,-5.0804,-45.6007
ES,-19.1834,-40.3089
MT,-12.6819,-56.9211
MS,-20.7722,-54.7852
RO,-11.5057,-63.5806
PI,-8.3229,-43.1747
TO,-11.4099,-48.7191
SE,-10.6739,-37.4681
PB,-7.2400,-36.7820
RR,-1.5958,-60.5821
AC,-9.0238,-70.8120
AP,-1.4441,-52.0215
